question_id,task_type,subtype,split,quality_checked,candidate_id,source_hotpot_id,source_status,check_status,question,gold_documents,notes
sf_0001,semantic_fact,semantic_rewrite,final,True,sf_cand_0001,5abfe2ab5542997d6429591d,accepted,accepted_llm_verified,"Which company owns Western Star Trucks Sales, Inc.?",doc_western_star_trucks_d621a6efc5,
sf_0002,semantic_fact,semantic_rewrite,final,True,sf_cand_0002,5a88722455429938390d3f6a,accepted,accepted_llm_verified,"How long is the Central Arizona Project canal located in Arizona, United States?",doc_central_arizona_project_f22326a0ec,
sf_0003,semantic_fact,semantic_rewrite,final,True,sf_cand_0003,5a828ebb55429940e5e1a8f6,accepted,accepted_llm_verified,"What are the professions of Sripathi Panditaradhyula Balasubrahmanyam, who was born on 4 June 1946?",doc_s_p_balasubrahmanyam_69e87a533e,
sf_0004,semantic_fact,semantic_rewrite,final,True,sf_cand_0005,5ae107f65542990adbacf707,accepted,accepted_llm_verified,"Who released the Teddy Boy EP, and when was it released?",doc_teddy_boy_ep_e387c9e76c,
sf_0005,semantic_fact,semantic_rewrite,final,True,sf_cand_0006,5adfbbb355429942ec259b25,accepted,accepted_llm_verified,Where is the main campus of Anna University located?,doc_anna_university_275a1e38b1,
sf_0006,semantic_fact,semantic_rewrite,final,True,sf_cand_0007,5ac14fef5542991316484aed,accepted,accepted_llm_verified,Where was Pranitha Vardhineni selected to after her notable win?,doc_pranitha_vardhineni_84898dbd5c,
sf_0007,semantic_fact,semantic_rewrite,final,True,sf_cand_0009,5abaafc555429901930fa899,accepted,accepted_llm_verified,Which congressional district did John E. Sweeney represent as a Republican in the U.S. House of Representatives?,doc_john_e_sweeney_1c22329c68,
sf_0008,semantic_fact,semantic_rewrite,final,True,sf_cand_0012,5a7f883e5542995d8a8dde99,accepted,accepted_llm_verified,What was the publication period of the Australian Woman's Mirror?,doc_australian_woman_s_mirror_e436c958be,
sf_0009,semantic_fact,semantic_rewrite,final,True,sf_cand_0013,5a8744a95542994846c1cd41,accepted,accepted_llm_verified,Which filmmaker directed the documentary that received a Best Documentary Academy Award nomination?,doc_4_little_girls_d5a9efb5c7,
sf_0010,semantic_fact,semantic_rewrite,final,True,sf_cand_0014,5a7f387755429934daa2fd23,accepted,accepted_llm_verified,What is Ray McKinnon's profession?,doc_ray_mckinnon_actor_bc10b8cb9a,
sf_0011,semantic_fact,semantic_rewrite,final,True,sf_cand_0015,5a8c5127554299240d9c210d,accepted,accepted_llm_verified,What is C. H. Greenblatt's profession in the field of animation?,doc_c_h_greenblatt_36dff09626,
sf_0012,semantic_fact,semantic_rewrite,final,True,sf_cand_0016,5ae35f555542991a06ce99a5,accepted,accepted_llm_verified,"Who founded Sabian Cymbals, the second largest cymbal manufacturer globally?",doc_robert_zildjian_b2fe2ea4ef,
sf_0013,semantic_fact,semantic_rewrite,final,True,sf_cand_0017,5a895da5554299669944a51f,accepted,accepted_llm_verified,Which musical duo released the album 'In Our Image' in 1966?,doc_in_our_image_17e11c67bd,
sf_0014,semantic_fact,semantic_rewrite,final,True,sf_cand_0021,5ae12d6155429901ffe4adcf,accepted,accepted_llm_verified,Which fighters has Cheick Kongo secured notable wins against?,doc_cheick_kongo_1b1d8a983d,
sf_0015,semantic_fact,semantic_rewrite,final,True,sf_cand_0022,5a7e6f825542991319bc94b2,accepted,accepted_llm_verified,Who was Adolf Hitler's longtime companion and briefly his wife before their deaths in 1945?,doc_eva_braun_03eb78b743,
sf_0016,semantic_fact,semantic_rewrite,final,True,sf_cand_0023,5add6e9c5542995b365fab2d,accepted,accepted_llm_verified,Where and when did the 2005 KNVB Cup Final take place?,doc_2005_knvb_cup_final_fafc8df69f,
sf_0017,semantic_fact,semantic_rewrite,final,True,sf_cand_0024,5adf68505542995ec70e8ff2,accepted,accepted_llm_verified,"What is the relationship between Mozart's 1789 composition 'Der Messias, K. 572' and Handel's 1741 oratorio 'Messiah'?",doc_der_messias_56541f8129,
sf_0018,semantic_fact,semantic_rewrite,final,True,sf_cand_0026,5ac1a1e45542991316484b6e,accepted,accepted_llm_verified,Where is Cabañeros National Park located?,doc_caba_eros_national_park_df1530647c,
