question_id,task_type,split,method,k,gold_count,retrieved_count,matched_gold_count,evidence_recall_at_k,complete_recall_at_k,search_success,mrr,tool_calls,latency_ms,text_read_tokens,evidence_gain_step2,stop_accuracy
sf_0001,semantic_fact,final,file_fts,1,1,1,1,1.0,1.0,1.0,1.0,1,4.274399995803833,357,,
sf_0001,semantic_fact,final,file_fts,3,1,3,1,1.0,1.0,1.0,1.0,1,4.274399995803833,357,,
sf_0001,semantic_fact,final,file_fts,5,1,5,1,1.0,1.0,1.0,1.0,1,4.274399995803833,357,,
sf_0002,semantic_fact,final,file_fts,1,1,1,1,1.0,1.0,1.0,1.0,1,4.71739998459816,548,,
sf_0002,semantic_fact,final,file_fts,3,1,3,1,1.0,1.0,1.0,1.0,1,4.71739998459816,548,,
sf_0002,semantic_fact,final,file_fts,5,1,5,1,1.0,1.0,1.0,1.0,1,4.71739998459816,548,,
sf_0003,semantic_fact,final,file_fts,1,1,1,1,1.0,1.0,1.0,1.0,1,4.462400004267693,360,,
sf_0003,semantic_fact,final,file_fts,3,1,3,1,1.0,1.0,1.0,1.0,1,4.462400004267693,360,,
sf_0003,semantic_fact,final,file_fts,5,1,5,1,1.0,1.0,1.0,1.0,1,4.462400004267693,360,,
sf_0004,semantic_fact,final,file_fts,1,1,1,1,1.0,1.0,1.0,1.0,1,3.3720000088214874,437,,
sf_0004,semantic_fact,final,file_fts,3,1,3,1,1.0,1.0,1.0,1.0,1,3.3720000088214874,437,,
sf_0004,semantic_fact,final,file_fts,5,1,5,1,1.0,1.0,1.0,1.0,1,3.3720000088214874,437,,
sf_0005,semantic_fact,final,file_fts,1,1,1,1,1.0,1.0,1.0,1.0,1,3.659199997782707,459,,
sf_0005,semantic_fact,final,file_fts,3,1,3,1,1.0,1.0,1.0,1.0,1,3.659199997782707,459,,
sf_0005,semantic_fact,final,file_fts,5,1,5,1,1.0,1.0,1.0,1.0,1,3.659199997782707,459,,
sf_0006,semantic_fact,final,file_fts,1,1,1,1,1.0,1.0,1.0,1.0,1,3.625200003385544,495,,
sf_0006,semantic_fact,final,file_fts,3,1,3,1,1.0,1.0,1.0,1.0,1,3.625200003385544,495,,
sf_0006,semantic_fact,final,file_fts,5,1,5,1,1.0,1.0,1.0,1.0,1,3.625200003385544,495,,
sf_0007,semantic_fact,final,file_fts,1,1,1,1,1.0,1.0,1.0,1.0,1,3.607899993658066,510,,
sf_0007,semantic_fact,final,file_fts,3,1,3,1,1.0,1.0,1.0,1.0,1,3.607899993658066,510,,
sf_0007,semantic_fact,final,file_fts,5,1,5,1,1.0,1.0,1.0,1.0,1,3.607899993658066,510,,
sf_0008,semantic_fact,final,file_fts,1,1,1,1,1.0,1.0,1.0,1.0,1,2.4833000153303146,428,,
sf_0008,semantic_fact,final,file_fts,3,1,3,1,1.0,1.0,1.0,1.0,1,2.4833000153303146,428,,
sf_0008,semantic_fact,final,file_fts,5,1,5,1,1.0,1.0,1.0,1.0,1,2.4833000153303146,428,,
sf_0009,semantic_fact,final,file_fts,1,1,1,0,0.0,0.0,0.0,0.0,1,4.149900004267693,626,,
