question_id,task_type,split,method,k,gold_count,retrieved_count,matched_gold_count,evidence_recall_at_k,complete_recall_at_k,search_success,mrr,tool_calls,latency_ms,text_read_tokens,evidence_gain_step2,stop_accuracy
sf_0001,semantic_fact,final,dense,1,1,1,1,1.0,1.0,1.0,1.0,1,173.40495998760065,449,,
sf_0001,semantic_fact,final,dense,3,1,3,1,1.0,1.0,1.0,1.0,1,173.40495998760065,449,,
sf_0001,semantic_fact,final,dense,5,1,5,1,1.0,1.0,1.0,1.0,1,173.40495998760065,449,,
sf_0002,semantic_fact,final,dense,1,1,1,1,1.0,1.0,1.0,1.0,1,168.00085998674234,405,,
sf_0002,semantic_fact,final,dense,3,1,3,1,1.0,1.0,1.0,1.0,1,168.00085998674234,405,,
sf_0002,semantic_fact,final,dense,5,1,5,1,1.0,1.0,1.0,1.0,1,168.00085998674234,405,,
sf_0003,semantic_fact,final,dense,1,1,1,0,0.0,0.0,0.0,0.0,1,166.3964600076278,509,,
sf_0003,semantic_fact,final,dense,3,1,3,1,1.0,1.0,1.0,0.5,1,166.3964600076278,509,,
sf_0003,semantic_fact,final,dense,5,1,5,1,1.0,1.0,1.0,0.5,1,166.3964600076278,509,,
sf_0004,semantic_fact,final,dense,1,1,1,1,1.0,1.0,1.0,1.0,1,167.67516000171503,356,,
sf_0004,semantic_fact,final,dense,3,1,3,1,1.0,1.0,1.0,1.0,1,167.67516000171503,356,,
sf_0004,semantic_fact,final,dense,5,1,5,1,1.0,1.0,1.0,1.0,1,167.67516000171503,356,,
sf_0005,semantic_fact,final,dense,1,1,1,1,1.0,1.0,1.0,1.0,1,166.57326000531515,252,,
sf_0005,semantic_fact,final,dense,3,1,3,1,1.0,1.0,1.0,1.0,1,166.57326000531515,252,,
sf_0005,semantic_fact,final,dense,5,1,5,1,1.0,1.0,1.0,1.0,1,166.57326000531515,252,,
sf_0006,semantic_fact,final,dense,1,1,1,1,1.0,1.0,1.0,1.0,1,166.40445999403795,341,,
sf_0006,semantic_fact,final,dense,3,1,3,1,1.0,1.0,1.0,1.0,1,166.40445999403795,341,,
sf_0006,semantic_fact,final,dense,5,1,5,1,1.0,1.0,1.0,1.0,1,166.40445999403795,341,,
sf_0007,semantic_fact,final,dense,1,1,1,1,1.0,1.0,1.0,1.0,1,166.44535998602709,363,,
sf_0007,semantic_fact,final,dense,3,1,3,1,1.0,1.0,1.0,1.0,1,166.44535998602709,363,,
sf_0007,semantic_fact,final,dense,5,1,5,1,1.0,1.0,1.0,1.0,1,166.44535998602709,363,,
sf_0008,semantic_fact,final,dense,1,1,1,1,1.0,1.0,1.0,1.0,1,166.3024599959453,239,,
sf_0008,semantic_fact,final,dense,3,1,3,1,1.0,1.0,1.0,1.0,1,166.3024599959453,239,,
sf_0008,semantic_fact,final,dense,5,1,5,1,1.0,1.0,1.0,1.0,1,166.3024599959453,239,,
sf_0009,semantic_fact,final,dense,1,1,1,0,0.0,0.0,0.0,0.0,1,166.3690600057443,513,,
sf_0009,semantic_fact,final,dense,3,1,3,0,0.0,0.0,0.0,0.0,1,166.3690600057443,513,,
sf_0009,semantic_fact,final,dense,5,1,5,0,0.0,0.0,0.0,0.0,1,166.3690600057443,513,,
sf_0010,semantic_fact,final,dense,1,1,1,1,1.0,1.0,1.0,1.0,1,167.18685999115309,199,,
sf_0010,semantic_fact,final,dense,3,1,3,1,1.0,1.0,1.0,1.0,1,167.18685999115309,199,,
sf_0010,semantic_fact,final,dense,5,1,5,1,1.0,1.0,1.0,1.0,1,167.18685999115309,199,,
sf_0011,semantic_fact,final,dense,1,1,1,0,0.0,0.0,0.0,0.0,1,166.3057600071033,335,,
sf_0011,semantic_fact,final,dense,3,1,3,1,1.0,1.0,1.0,0.3333333333333333,1,166.3057600071033,335,,
sf_0011,semantic_fact,final,dense,5,1,5,1,1.0,1.0,1.0,0.3333333333333333,1,166.3057600071033,335,,
sf_0012,semantic_fact,final,dense,1,1,1,1,1.0,1.0,1.0,1.0,1,166.3213600029548,265,,
sf_0012,semantic_fact,final,dense,3,1,3,1,1.0,1.0,1.0,1.0,1,166.3213600029548,265,,
sf_0012,semantic_fact,final,dense,5,1,5,1,1.0,1.0,1.0,1.0,1,166.3213600029548,265,,
sf_0013,semantic_fact,final,dense,1,1,1,1,1.0,1.0,1.0,1.0,1,166.3168599863847,450,,
sf_0013,semantic_fact,final,dense,3,1,3,1,1.0,1.0,1.0,1.0,1,166.3168599863847,450,,
sf_0013,semantic_fact,final,dense,5,1,5,1,1.0,1.0,1.0,1.0,1,166.3168599863847,450,,
sf_0014,semantic_fact,final,dense,1,1,1,1,1.0,1.0,1.0,1.0,1,166.47026000519594,332,,
sf_0014,semantic_fact,final,dense,3,1,3,1,1.0,1.0,1.0,1.0,1,166.47026000519594,332,,
sf_0014,semantic_fact,final,dense,5,1,5,1,1.0,1.0,1.0,1.0,1,166.47026000519594,332,,
sf_0015,semantic_fact,final,dense,1,1,1,1,1.0,1.0,1.0,1.0,1,166.33345999916395,501,,
sf_0015,semantic_fact,final,dense,3,1,3,1,1.0,1.0,1.0,1.0,1,166.33345999916395,501,,
sf_0015,semantic_fact,final,dense,5,1,5,1,1.0,1.0,1.0,1.0,1,166.33345999916395,501,,
sf_0016,semantic_fact,final,dense,1,1,1,0,0.0,0.0,0.0,0.0,1,167.11376000543436,296,,
sf_0016,semantic_fact,final,dense,3,1,3,1,1.0,1.0,1.0,0.3333333333333333,1,167.11376000543436,296,,
sf_0016,semantic_fact,final,dense,5,1,5,1,1.0,1.0,1.0,0.3333333333333333,1,167.11376000543436,296,,
sf_0017,semantic_fact,final,dense,1,1,1,1,1.0,1.0,1.0,1.0,1,166.3383599927028,446,,
sf_0017,semantic_fact,final,dense,3,1,3,1,1.0,1.0,1.0,1.0,1,166.3383599927028,446,,
sf_0017,semantic_fact,final,dense,5,1,5,1,1.0,1.0,1.0,1.0,1,166.3383599927028,446,,
sf_0018,semantic_fact,final,dense,1,1,1,1,1.0,1.0,1.0,1.0,1,167.99606000979742,507,,
sf_0018,semantic_fact,final,dense,3,1,3,1,1.0,1.0,1.0,1.0,1,167.99606000979742,507,,
sf_0018,semantic_fact,final,dense,5,1,5,1,1.0,1.0,1.0,1.0,1,167.99606000979742,507,,
sf_0019,semantic_fact,final,dense,1,1,1,0,0.0,0.0,0.0,0.0,1,166.74015998442968,358,,
sf_0019,semantic_fact,final,dense,3,1,3,0,0.0,0.0,0.0,0.0,1,166.74015998442968,358,,
sf_0019,semantic_fact,final,dense,5,1,5,0,0.0,0.0,0.0,0.0,1,166.74015998442968,358,,
sf_0020,semantic_fact,final,dense,1,1,1,1,1.0,1.0,1.0,1.0,1,166.60175998111566,464,,
sf_0020,semantic_fact,final,dense,3,1,3,1,1.0,1.0,1.0,1.0,1,166.60175998111566,464,,
sf_0020,semantic_fact,final,dense,5,1,5,1,1.0,1.0,1.0,1.0,1,166.60175998111566,464,,
sf_0021,semantic_fact,final,dense,1,1,1,1,1.0,1.0,1.0,1.0,1,168.7142599930366,501,,
sf_0021,semantic_fact,final,dense,3,1,3,1,1.0,1.0,1.0,1.0,1,168.7142599930366,501,,
sf_0021,semantic_fact,final,dense,5,1,5,1,1.0,1.0,1.0,1.0,1,168.7142599930366,501,,
sf_0022,semantic_fact,final,dense,1,1,1,1,1.0,1.0,1.0,1.0,1,167.90545998116335,295,,
sf_0022,semantic_fact,final,dense,3,1,3,1,1.0,1.0,1.0,1.0,1,167.90545998116335,295,,
sf_0022,semantic_fact,final,dense,5,1,5,1,1.0,1.0,1.0,1.0,1,167.90545998116335,295,,
sf_0023,semantic_fact,final,dense,1,1,1,0,0.0,0.0,0.0,0.0,1,166.36675999661287,582,,
sf_0023,semantic_fact,final,dense,3,1,3,1,1.0,1.0,1.0,0.5,1,166.36675999661287,582,,
sf_0023,semantic_fact,final,dense,5,1,5,1,1.0,1.0,1.0,0.5,1,166.36675999661287,582,,
sf_0024,semantic_fact,final,dense,1,1,1,1,1.0,1.0,1.0,1.0,1,166.65386001368364,341,,
sf_0024,semantic_fact,final,dense,3,1,3,1,1.0,1.0,1.0,1.0,1,166.65386001368364,341,,
sf_0024,semantic_fact,final,dense,5,1,5,1,1.0,1.0,1.0,1.0,1,166.65386001368364,341,,
sf_0025,semantic_fact,final,dense,1,1,1,1,1.0,1.0,1.0,1.0,1,166.28526000281175,435,,
sf_0025,semantic_fact,final,dense,3,1,3,1,1.0,1.0,1.0,1.0,1,166.28526000281175,435,,
sf_0025,semantic_fact,final,dense,5,1,5,1,1.0,1.0,1.0,1.0,1,166.28526000281175,435,,
sf_0026,semantic_fact,final,dense,1,1,1,1,1.0,1.0,1.0,1.0,1,166.31905999382337,283,,
sf_0026,semantic_fact,final,dense,3,1,3,1,1.0,1.0,1.0,1.0,1,166.31905999382337,283,,
sf_0026,semantic_fact,final,dense,5,1,5,1,1.0,1.0,1.0,1.0,1,166.31905999382337,283,,
sf_0027,semantic_fact,final,dense,1,1,1,1,1.0,1.0,1.0,1.0,1,166.49846000572046,359,,
sf_0027,semantic_fact,final,dense,3,1,3,1,1.0,1.0,1.0,1.0,1,166.49846000572046,359,,
sf_0027,semantic_fact,final,dense,5,1,5,1,1.0,1.0,1.0,1.0,1,166.49846000572046,359,,
sf_0028,semantic_fact,final,dense,1,1,1,1,1.0,1.0,1.0,1.0,1,168.5102599968513,385,,
sf_0028,semantic_fact,final,dense,3,1,3,1,1.0,1.0,1.0,1.0,1,168.5102599968513,385,,
sf_0028,semantic_fact,final,dense,5,1,5,1,1.0,1.0,1.0,1.0,1,168.5102599968513,385,,
sf_0029,semantic_fact,final,dense,1,1,1,1,1.0,1.0,1.0,1.0,1,166.40596000452837,431,,
sf_0029,semantic_fact,final,dense,3,1,3,1,1.0,1.0,1.0,1.0,1,166.40596000452837,431,,
sf_0029,semantic_fact,final,dense,5,1,5,1,1.0,1.0,1.0,1.0,1,166.40596000452837,431,,
sf_0030,semantic_fact,final,dense,1,1,1,1,1.0,1.0,1.0,1.0,1,166.37296001215776,476,,
sf_0030,semantic_fact,final,dense,3,1,3,1,1.0,1.0,1.0,1.0,1,166.37296001215776,476,,
sf_0030,semantic_fact,final,dense,5,1,5,1,1.0,1.0,1.0,1.0,1,166.37296001215776,476,,
sf_0031,semantic_fact,final,dense,1,1,1,1,1.0,1.0,1.0,1.0,1,168.47775999804338,535,,
sf_0031,semantic_fact,final,dense,3,1,3,1,1.0,1.0,1.0,1.0,1,168.47775999804338,535,,
sf_0031,semantic_fact,final,dense,5,1,5,1,1.0,1.0,1.0,1.0,1,168.47775999804338,535,,
sf_0032,semantic_fact,final,dense,1,1,1,1,1.0,1.0,1.0,1.0,1,167.30476000507673,272,,
sf_0032,semantic_fact,final,dense,3,1,3,1,1.0,1.0,1.0,1.0,1,167.30476000507673,272,,
sf_0032,semantic_fact,final,dense,5,1,5,1,1.0,1.0,1.0,1.0,1,167.30476000507673,272,,
sf_0033,semantic_fact,final,dense,1,1,1,1,1.0,1.0,1.0,1.0,1,167.60245999296507,361,,
sf_0033,semantic_fact,final,dense,3,1,3,1,1.0,1.0,1.0,1.0,1,167.60245999296507,361,,
sf_0033,semantic_fact,final,dense,5,1,5,1,1.0,1.0,1.0,1.0,1,167.60245999296507,361,,
sf_0034,semantic_fact,final,dense,1,1,1,1,1.0,1.0,1.0,1.0,1,166.30476000507673,392,,
sf_0034,semantic_fact,final,dense,3,1,3,1,1.0,1.0,1.0,1.0,1,166.30476000507673,392,,
sf_0034,semantic_fact,final,dense,5,1,5,1,1.0,1.0,1.0,1.0,1,166.30476000507673,392,,
sf_0035,semantic_fact,final,dense,1,1,1,0,0.0,0.0,0.0,0.0,1,166.60495999058088,517,,
sf_0035,semantic_fact,final,dense,3,1,3,0,0.0,0.0,0.0,0.0,1,166.60495999058088,517,,
sf_0035,semantic_fact,final,dense,5,1,5,0,0.0,0.0,0.0,0.0,1,166.60495999058088,517,,
sf_0036,semantic_fact,final,dense,1,1,1,1,1.0,1.0,1.0,1.0,1,166.3746599962314,443,,
sf_0036,semantic_fact,final,dense,3,1,3,1,1.0,1.0,1.0,1.0,1,166.3746599962314,443,,
sf_0036,semantic_fact,final,dense,5,1,5,1,1.0,1.0,1.0,1.0,1,166.3746599962314,443,,
sf_0037,semantic_fact,final,dense,1,1,1,1,1.0,1.0,1.0,1.0,1,166.32486000259718,423,,
sf_0037,semantic_fact,final,dense,3,1,3,1,1.0,1.0,1.0,1.0,1,166.32486000259718,423,,
sf_0037,semantic_fact,final,dense,5,1,5,1,1.0,1.0,1.0,1.0,1,166.32486000259718,423,,
sf_0038,semantic_fact,final,dense,1,1,1,1,1.0,1.0,1.0,1.0,1,166.3497599919637,537,,
sf_0038,semantic_fact,final,dense,3,1,3,1,1.0,1.0,1.0,1.0,1,166.3497599919637,537,,
sf_0038,semantic_fact,final,dense,5,1,5,1,1.0,1.0,1.0,1.0,1,166.3497599919637,537,,
sf_0039,semantic_fact,final,dense,1,1,1,1,1.0,1.0,1.0,1.0,1,167.30976001520952,427,,
sf_0039,semantic_fact,final,dense,3,1,3,1,1.0,1.0,1.0,1.0,1,167.30976001520952,427,,
