question_id,task_type,split,method,k,gold_count,retrieved_count,matched_gold_count,evidence_recall_at_k,complete_recall_at_k,search_success,mrr,tool_calls,latency_ms,text_read_tokens,evidence_gain_step2,stop_accuracy
sf_0001,semantic_fact,final,rule_router,1,1,1,1,1.0,1.0,1.0,1.0,1,5366.598099991679,449,,
sf_0001,semantic_fact,final,rule_router,3,1,3,1,1.0,1.0,1.0,1.0,1,5366.598099991679,449,,
sf_0001,semantic_fact,final,rule_router,5,1,5,1,1.0,1.0,1.0,1.0,1,5366.598099991679,449,,
sf_0002,semantic_fact,final,rule_router,1,1,1,1,1.0,1.0,1.0,1.0,1,4645.798400014639,405,,
sf_0002,semantic_fact,final,rule_router,3,1,3,1,1.0,1.0,1.0,1.0,1,4645.798400014639,405,,
sf_0002,semantic_fact,final,rule_router,5,1,5,1,1.0,1.0,1.0,1.0,1,4645.798400014639,405,,
sf_0003,semantic_fact,final,rule_router,1,1,1,1,1.0,1.0,1.0,1.0,1,36.43590000271797,452,,
sf_0003,semantic_fact,final,rule_router,3,1,3,1,1.0,1.0,1.0,1.0,1,36.43590000271797,452,,
sf_0003,semantic_fact,final,rule_router,5,1,5,1,1.0,1.0,1.0,1.0,1,36.43590000271797,452,,
sf_0004,semantic_fact,final,rule_router,1,1,1,1,1.0,1.0,1.0,1.0,1,3446.228899985552,356,,
sf_0004,semantic_fact,final,rule_router,3,1,3,1,1.0,1.0,1.0,1.0,1,3446.228899985552,356,,
sf_0004,semantic_fact,final,rule_router,5,1,5,1,1.0,1.0,1.0,1.0,1,3446.228899985552,356,,
sf_0005,semantic_fact,final,rule_router,1,1,1,1,1.0,1.0,1.0,1.0,1,2994.994700014591,252,,
sf_0005,semantic_fact,final,rule_router,3,1,3,1,1.0,1.0,1.0,1.0,1,2994.994700014591,252,,
sf_0005,semantic_fact,final,rule_router,5,1,5,1,1.0,1.0,1.0,1.0,1,2994.994700014591,252,,
sf_0006,semantic_fact,final,rule_router,1,1,1,1,1.0,1.0,1.0,1.0,1,3468.96360000968,341,,
sf_0006,semantic_fact,final,rule_router,3,1,3,1,1.0,1.0,1.0,1.0,1,3468.96360000968,341,,
sf_0006,semantic_fact,final,rule_router,5,1,5,1,1.0,1.0,1.0,1.0,1,3468.96360000968,341,,
sf_0007,semantic_fact,final,rule_router,1,1,1,1,1.0,1.0,1.0,1.0,1,3342.46020001173,363,,
sf_0007,semantic_fact,final,rule_router,3,1,3,1,1.0,1.0,1.0,1.0,1,3342.46020001173,363,,
sf_0007,semantic_fact,final,rule_router,5,1,5,1,1.0,1.0,1.0,1.0,1,3342.46020001173,363,,
sf_0008,semantic_fact,final,rule_router,1,1,1,1,1.0,1.0,1.0,1.0,1,2912.688299998641,239,,
sf_0008,semantic_fact,final,rule_router,3,1,3,1,1.0,1.0,1.0,1.0,1,2912.688299998641,239,,
sf_0008,semantic_fact,final,rule_router,5,1,5,1,1.0,1.0,1.0,1.0,1,2912.688299998641,239,,
sf_0009,semantic_fact,final,rule_router,1,1,1,0,0.0,0.0,0.0,0.0,1,5087.303100004792,513,,
sf_0009,semantic_fact,final,rule_router,3,1,3,0,0.0,0.0,0.0,0.0,1,5087.303100004792,513,,
sf_0009,semantic_fact,final,rule_router,5,1,5,0,0.0,0.0,0.0,0.0,1,5087.303100004792,513,,
sf_0010,semantic_fact,final,rule_router,1,1,1,1,1.0,1.0,1.0,1.0,1,3948.500500008464,199,,
sf_0010,semantic_fact,final,rule_router,3,1,3,1,1.0,1.0,1.0,1.0,1,3948.500500008464,199,,
sf_0010,semantic_fact,final,rule_router,5,1,5,1,1.0,1.0,1.0,1.0,1,3948.500500008464,199,,
sf_0011,semantic_fact,final,rule_router,1,1,1,0,0.0,0.0,0.0,0.0,1,6287.23180000484,335,,
sf_0011,semantic_fact,final,rule_router,3,1,3,1,1.0,1.0,1.0,0.3333333333333333,1,6287.23180000484,335,,
sf_0011,semantic_fact,final,rule_router,5,1,5,1,1.0,1.0,1.0,0.3333333333333333,1,6287.23180000484,335,,
sf_0012,semantic_fact,final,rule_router,1,1,1,1,1.0,1.0,1.0,1.0,1,2379.267600014806,265,,
sf_0012,semantic_fact,final,rule_router,3,1,3,1,1.0,1.0,1.0,1.0,1,2379.267600014806,265,,
sf_0012,semantic_fact,final,rule_router,5,1,5,1,1.0,1.0,1.0,1.0,1,2379.267600014806,265,,
sf_0013,semantic_fact,final,rule_router,1,1,1,1,1.0,1.0,1.0,1.0,1,10509.330500006676,450,,
sf_0013,semantic_fact,final,rule_router,3,1,3,1,1.0,1.0,1.0,1.0,1,10509.330500006676,450,,
sf_0013,semantic_fact,final,rule_router,5,1,5,1,1.0,1.0,1.0,1.0,1,10509.330500006676,450,,
sf_0014,semantic_fact,final,rule_router,1,1,1,1,1.0,1.0,1.0,1.0,1,3571.5892000049353,332,,
sf_0014,semantic_fact,final,rule_router,3,1,3,1,1.0,1.0,1.0,1.0,1,3571.5892000049353,332,,
sf_0014,semantic_fact,final,rule_router,5,1,5,1,1.0,1.0,1.0,1.0,1,3571.5892000049353,332,,
sf_0015,semantic_fact,final,rule_router,1,1,1,1,1.0,1.0,1.0,1.0,1,8352.21890000999,501,,
sf_0015,semantic_fact,final,rule_router,3,1,3,1,1.0,1.0,1.0,1.0,1,8352.21890000999,501,,
sf_0015,semantic_fact,final,rule_router,5,1,5,1,1.0,1.0,1.0,1.0,1,8352.21890000999,501,,
sf_0016,semantic_fact,final,rule_router,1,1,1,0,0.0,0.0,0.0,0.0,1,5591.57990001142,296,,
sf_0016,semantic_fact,final,rule_router,3,1,3,1,1.0,1.0,1.0,0.3333333333333333,1,5591.57990001142,296,,
