question_id,task_type,split,method,k,gold_count,retrieved_count,matched_gold_count,evidence_recall_at_k,complete_recall_at_k,search_success,mrr,tool_calls,latency_ms,text_read_tokens,evidence_gain_step2,stop_accuracy
sf_0001,semantic_fact,final,two_stage_agent,1,1,1,1,1.0,1.0,1.0,1.0,1,9806.85000000894,449,0,1.0
sf_0001,semantic_fact,final,two_stage_agent,3,1,3,1,1.0,1.0,1.0,1.0,1,9806.85000000894,449,0,1.0
sf_0001,semantic_fact,final,two_stage_agent,5,1,5,1,1.0,1.0,1.0,1.0,1,9806.85000000894,449,0,1.0
sf_0002,semantic_fact,final,two_stage_agent,1,1,1,1,1.0,1.0,1.0,1.0,2,4167.191699981689,860,0,0.0
sf_0002,semantic_fact,final,two_stage_agent,3,1,3,1,1.0,1.0,1.0,1.0,2,4167.191699981689,860,0,0.0
sf_0002,semantic_fact,final,two_stage_agent,5,1,5,1,1.0,1.0,1.0,1.0,2,4167.191699981689,860,0,0.0
sf_0003,semantic_fact,final,two_stage_agent,1,1,1,1,1.0,1.0,1.0,1.0,2,4015.165099993348,961,0,0.0
sf_0003,semantic_fact,final,two_stage_agent,3,1,3,1,1.0,1.0,1.0,1.0,2,4015.165099993348,961,0,0.0
sf_0003,semantic_fact,final,two_stage_agent,5,1,5,1,1.0,1.0,1.0,1.0,2,4015.165099993348,961,0,0.0
sf_0004,semantic_fact,final,two_stage_agent,1,1,1,1,1.0,1.0,1.0,1.0,1,2708.547499999404,356,0,1.0
sf_0004,semantic_fact,final,two_stage_agent,3,1,3,1,1.0,1.0,1.0,1.0,1,2708.547499999404,356,0,1.0
sf_0004,semantic_fact,final,two_stage_agent,5,1,5,1,1.0,1.0,1.0,1.0,1,2708.547499999404,356,0,1.0
sf_0005,semantic_fact,final,two_stage_agent,1,1,1,1,1.0,1.0,1.0,1.0,2,6309.853299990296,740,0,0.0
sf_0005,semantic_fact,final,two_stage_agent,3,1,3,1,1.0,1.0,1.0,1.0,2,6309.853299990296,740,0,0.0
sf_0005,semantic_fact,final,two_stage_agent,5,1,5,1,1.0,1.0,1.0,1.0,2,6309.853299990296,740,0,0.0
sf_0006,semantic_fact,final,two_stage_agent,1,1,1,1,1.0,1.0,1.0,1.0,2,3880.1763000041246,830,0,0.0
sf_0006,semantic_fact,final,two_stage_agent,3,1,3,1,1.0,1.0,1.0,1.0,2,3880.1763000041246,830,0,0.0
sf_0006,semantic_fact,final,two_stage_agent,5,1,5,1,1.0,1.0,1.0,1.0,2,3880.1763000041246,830,0,0.0
sf_0007,semantic_fact,final,two_stage_agent,1,1,1,1,1.0,1.0,1.0,1.0,1,2651.824200004339,363,0,1.0
sf_0007,semantic_fact,final,two_stage_agent,3,1,3,1,1.0,1.0,1.0,1.0,1,2651.824200004339,363,0,1.0
sf_0007,semantic_fact,final,two_stage_agent,5,1,5,1,1.0,1.0,1.0,1.0,1,2651.824200004339,363,0,1.0
sf_0008,semantic_fact,final,two_stage_agent,1,1,1,1,1.0,1.0,1.0,1.0,1,4303.461800009012,239,0,1.0
sf_0008,semantic_fact,final,two_stage_agent,3,1,3,1,1.0,1.0,1.0,1.0,1,4303.461800009012,239,0,1.0
sf_0008,semantic_fact,final,two_stage_agent,5,1,5,1,1.0,1.0,1.0,1.0,1,4303.461800009012,239,0,1.0
sf_0009,semantic_fact,final,two_stage_agent,1,1,1,0,0.0,0.0,0.0,0.0,2,2594.506799966097,838,0,1.0
