method,method_role,question_id,task_type,question,gold_count,matched_gold_count,gold_titles,missed_gold_titles,retrieved_titles_top5,mrr_at_5,latency_ms
dense,formal_baseline,sf_0009,semantic_fact,Which filmmaker directed the documentary that received a Best Documentary Academy Award nomination?,1,0,4 Little Girls,4 Little Girls,Chicago Film Critics Association Awards 2016 | Chicago Film Critics Association Awards 1990 | Golden Globe Award for Best Animated Feature Film | Chicago Film Critics Association Awards 1988 | National Film Award for Best Music Direction,0.0,166.3690600057443
dense,formal_baseline,sf_0019,semantic_fact,What is the release year and genre of the South Korean film starring Lee Byung-hun and directed by Kim Jee-woon?,1,0,A Bittersweet Life,A Bittersweet Life,Jin Hyuk | Lee Byung-hun | Joint Security Area (film) | Ahn Nae-sang | Addicted (2002 film),0.0,166.74015998442968
dense,formal_baseline,sf_0035,semantic_fact,"Where did the film win the award for ""Best Film"" in 2004?",1,0,Über Goober,Über Goober,Chicago Film Critics Association Awards 2016 | Golden Globe Award for Best Animated Feature Film | 5th Lumières Awards | National Film Award for Best Music Direction | Chicago Film Critics Association Awards 1990,0.0,166.60495999058088
dense,formal_baseline,mh_0001,multi_hop_relation,"Who was the director of an American epic space opera film that starred an actor born March 5, 1989?",2,0,Jake Lloyd | Star Wars: Episode I – The Phantom Menace,Jake Lloyd | Star Wars: Episode I – The Phantom Menace,Eleni (film) | Georg Tressler | Michael McGreevey | Géza von Cziffra | Spaceballs,0.0,166.3986600001653
dense,formal_baseline,mh_0004,multi_hop_relation,Whose orchestra accompanied the First Lady of Song and other singers in a 1967 television special?,2,1,A Man and His Music + Ella + Jobim | Ella Fitzgerald,A Man and His Music + Ella + Jobim,Movin' with Nancy (album) | Ella Fitzgerald | Vivian Della Chiesa | You're Just in Love | Just Bummin' Around,0.5,166.30515999694666
dense,formal_baseline,mh_0006,multi_hop_relation,Zooperstars features a clam dressed as a baseball player born in what year?,2,1,Sammy Sosa | ZOOperstars!,Sammy Sosa,ZOOperstars! | The Rookie (2002 film) | Kid Camp | Mariam Ramón Climent | Sports Legends Museum at Camden Yards,1.0,166.7637599815925
dense,formal_baseline,mh_0007,multi_hop_relation,The Rieder Automatic Rifle was a model made by the company that created firearms for the forces of what country?,2,1,Lee–Enfield | Rieder Automatic Rifle,Lee–Enfield,Rieder Automatic Rifle | Sieg automatic rifle | FN Model 1949 | Chauchat | FARA 83,1.0,166.79635999699434
dense,formal_baseline,mh_0009,multi_hop_relation,Marina Zueva was the coach for which Canadian World Champion ice dancer?,2,1,Marina Zueva | Tessa Virtue,Tessa Virtue,Marina Zueva | Marina Klimova | Marina Anissina | Gwendal Peizerat | Brandy Fisher,1.0,166.33866001268228
dense,formal_baseline,mh_0010,multi_hop_relation,"The South Korean actress and model whose real name is Kim Soo-hyun, starred in an MBC show in 2016 that replaced which show?",2,1,Claudia Kim | Monster (2016 TV series),Monster (2016 TV series),Kim Hye-eun | Kim Yoon-hye | Kim Soo-hyun (disambiguation) | Claudia Kim | Ahn In-sook,0.25,166.3138599952062
dense,formal_baseline,mh_0012,multi_hop_relation,Hafþór Júlíus Björnsson plays an HBO character who first appears in book form in what year?,2,1,Gregor Clegane | Hafþór Júlíus Björnsson,Gregor Clegane,Hafþór Júlíus Björnsson | Medieval theatre | Åsa Larsson | Ciarán Hinds | Wakefield Mystery Plays,1.0,166.60516000886759
dense,formal_baseline,mh_0013,multi_hop_relation,Racism without Racists was published by the house founded in what year?,2,1,Racism without Racists | Rowman &amp; Littlefield,Rowman &amp; Littlefield,Racism without Racists | W. E. B. Du Bois | World Conference against Racism | Anne Frank Foundation | 1964 (film),1.0,166.44406000872453
