question_id,source_hotpot_id,question,answer,gold_doc_ids,gold_titles,gold_sentences,status,notes
mh_cand_0001,5ac3e13b5542995c82c4ac7b,Who is the director of a film which featured the winner of FX's inaugural MMA competition?,James Z. Feng,doc_fight_life_21662b7daa|doc_michael_chiesa_aa894ec72f,Fight Life|Michael Chiesa," The film is directed by independent filmmaker James Z. Feng and produced by RiLL Films. ||  A professional MMA competitor since 2008, Chiesa was the winner of FX's inaugural .",todo,
mh_cand_0002,5ae29b595542992decbdcd4e,"Who was the director of an American epic space opera film that starred an actor born March 5, 1989?",George Lucas,doc_jake_lloyd_b53538479a|doc_star_wars_episode_i_the_phantom_menace_4eb3d26e9c,Jake Lloyd|Star Wars: Episode I – The Phantom Menace,"Star Wars: Episode I – The Phantom Menace is a 1999 American epic space opera film written and directed by George Lucas, produced by Lucasfilm and distributed by 20th Century Fox. ||  It is the first installment in the ""Star Wars"" prequel trilogy and stars Liam Neeson, Ewan McGregor, Natalie Portman, Jake Lloyd, Ian McDiarmid, Anthony Daniels, Kenny Baker, Ahmed Best, Pernilla August, Brian Blessed, Ray Park, and Frank Oz. || Jake Matthew Lloyd (born March 5, 1989) is an American former actor who played young Anakin Skywalker in the 1999 film """", the first in the ""Star Wars"" prequel trilogy.",todo,
mh_cand_0003,5ab2b2ed5542992953946822,"Who released his debut solo album after the group disbanded, Biff Byford or Shane Filan?",Shane Steven Filan,doc_biff_byford_ebf283a0f9|doc_shane_filan_dc86361e25,Biff Byford|Shane Filan,"Peter Rodney ""Biff"" Byford (born 15 January 1951) is an English singer best known as the lead singer of the heavy metal band Saxon. || Shane Steven Filan (born 5 July 1979) is an Irish singer and songwriter. ||  After the group disbanded, Filan released his debut solo album, ""You and Me"", in 2013.",todo,
mh_cand_0004,5ae41e9855429970de88d903,"""Medusa"" is the eighth episode of the second season from The CW television series ""Supergirl"", which aired on which date, the episode features a minor tie-in with the Arrowverse crossover event ""Invasion!""?","November 21, 2016",doc_invasion_arrowverse_4f4afef1e1|doc_medusa_supergirl_8d6e9a49b4,Invasion! (Arrowverse)|Medusa (Supergirl),"""Medusa"" is the eighth episode of the second season from The CW television series ""Supergirl"", which aired on November 21, 2016. ||  is the third annual Arrowverse crossover event, crossing over episodes of the Arrowverse television series ""The Flash"", ""Arrow"" and ""Legends of Tomorrow"" on The CW, and is inspired by the 1989 comic miniseries ""Invasion!",todo,
mh_cand_0005,5ae534405542992663a4f15e,Whose orchestra accompanied the First Lady of Song and other singers in a 1967 television special?,Nelson Riddle,doc_a_man_and_his_music_ella_jobim_b8bb9299c5|doc_ella_fitzgerald_bad225fa45,A Man and His Music + Ella + Jobim|Ella Fitzgerald,"A Man and His Music + Ella + Jobim was a 1967 television special starring Frank Sinatra, Ella Fitzgerald, and Antonio Carlos Jobim, accompanied by Nelson Riddle and his orchestra. || Ella Jane Fitzgerald (April 25, 1917 – June 15, 1996) was an African - American jazz singer often referred to as the First Lady of Song, Queen of Jazz and Lady Ella.",todo,
mh_cand_0006,5ac29e33554299218029dac6,"What title did the mother of Archduke Charles, Duke of Teschen hold in Tuscany?",Grand Duchess,doc_archduke_charles_duke_of_teschen_e4b577dd5d|doc_maria_luisa_of_spain_df4d8f0b01,"Archduke Charles, Duke of Teschen|Maria Luisa of Spain","Archduke Charles of Austria, Duke of Teschen (German: Erzherzog Carl Ludwig Johann Joseph Laurentius von Österreich, Herzog von Teschen; 5 September 1771 – 30 April 1847) was an Austrian field-marshal, the third son of Emperor Leopold II and his wife, Maria Luisa of Spain. || Infanta Maria Luisa of Spain (Spanish: ""María Luisa"", German: ""Maria Ludovika"") (24 November 1745 – 15 May 1792) was Holy Roman Empress, German Queen, Queen of Hungary and Bohemia, Grand Duchess of Tuscany as the spouse of Leopold II, Holy Roman Emperor.",todo,
mh_cand_0007,5a81d970554299676cceb0fc,Zooperstars features a clam dressed as a baseball player born in what year?,1968,doc_sammy_sosa_b218c3cb30|doc_zooperstars_ad74029b17,Sammy Sosa|ZOOperstars!," In the sports industry, they are most famous for their popular ""Eat It"" skit where ""the impressively tall inflatable clam clad in a Sammy Sosa jersey greedily ""devours"" opposing coaches, bat boys, or whoever else happens to be around, then spits out his meal's shirt, shoes, and cap, all while Weird Al Yankovic's Eat It plays in the background."" || Samuel ""Maiky"" Peralta Sosa (born November 12, 1968) is a Haitian-Dominican former professional baseball right fielder.",todo,
mh_cand_0008,5ae5e27355429929b08079e7,"The coat of arms of Samoa takes its inspiration from the United Nations, as New Zealand administered Western Samoa first as a League of Nations,  was an intergovernmental organisation founded on which date, as a result of the Paris Peace Conference that ended the First World War?",10 January 1920,doc_coat_of_arms_of_samoa_f1a7d1aca3|doc_league_of_nations_894a47aa1f,Coat of arms of Samoa|League of Nations,"The coat of arms of Samoa takes its inspiration from the United Nations, as New Zealand administered Western Samoa first as a League of Nations Mandate and then as a United Nations trusteeship until the country received its independence on June 1, 1962, as Western Samoa. || The League of Nations (abbreviated as LN in English, ""La Société des Nations "" ] abbreviated as SDN or SdN in French) was an intergovernmental organisation founded on 10 January 1920 as a result of the Paris Peace Conference that ended the First World War.",todo,
mh_cand_0009,5ade23b35542992fa25da6dd,The Rieder Automatic Rifle was a model made by the company that created firearms for the forces of what country?,British Empire and Commonwealth,doc_lee_enfield_5ac5394dab|doc_rieder_automatic_rifle_f3649dbc8d,Lee–Enfield|Rieder Automatic Rifle,"The Rieder Automatic Rifle was a fully automatic Lee–Enfield SMLE rifle conversion of South African origin. || The Lee–Enfield is a bolt-action, magazine-fed, repeating rifle that was the main firearm used by the military forces of the British Empire and Commonwealth during the first half of the 20th century.",todo,
mh_cand_0010,5a897586554299515336130c,"Which documentary is French, Iraq in Fragments or Beyond Hatred?",Beyond Hatred,doc_beyond_hatred_8538c039ef|doc_iraq_in_fragments_b7dfff1649,Beyond Hatred|Iraq in Fragments,"Iraq in Fragments is a documentary film directed by James Longley. || Beyond Hatred (French: ""Au-delà de la haine"" ) is a 2005 French documentary film written and directed by Olivier Meyrou.",todo,
