question_id,source_hotpot_id,subtype,gold_doc_id,gold_title,gold_sentence,anchor_value,current_question,final_question,status,notes,llm_verdict,llm_attempts,deterministic_issues,verifier_reason,generator_model,verifier_model
ex_title_cand_0001,5ae14cfe55429920d52343bf,title_anchor,doc_apollo_creed_1417ad5f58,Apollo Creed,"Apollo Creed is a fictional character from the ""Rocky"" films, initially portrayed as the undisputed heavyweight champion of the world.",Apollo Creed,"In the ""Apollo Creed"" document, what evidence helps answer: Carl Weathers portrayed the character that held what title in the Rocky films?","In the ""Apollo Creed"" document, what title did the character portrayed by Carl Weathers hold in the Rocky films?",accepted,,accept,1,,The question is answerable from the gold sentence and matches the subtype.,Qwen/Qwen3-235B-A22B-Instruct-2507,meta-llama/Llama-3.3-70B-Instruct-Turbo
ex_title_cand_0002,5ae09c3c5542993d6555ebb9,title_anchor,doc_the_hudson_independent_ad831bd22e,The Hudson Independent,"The Hudson Independent is a monthly newspaper serving the Westchester communities of Tarrytown, Sleepy Hollow, Irvington, Greenburgh, Scarborough, and Ardsley.",The Hudson Independent,"In the ""The Hudson Independent"" document, what evidence helps answer: The Hudson Independent is a monthly newspaper that serves what village in the town of Greenburgh that had a population of 11,277 at the 2010 census?","In the ""The Hudson Independent"" document, what village in the town of Greenburgh is served by the monthly newspaper?",accepted,,accept,1,,The question is answerable from the gold sentence and matches the subtype.,Qwen/Qwen3-235B-A22B-Instruct-2507,meta-llama/Llama-3.3-70B-Instruct-Turbo
ex_title_cand_0003,5ae84a685542997ec272779a,title_anchor,doc_krista_detor_30ad95fad3,Krista Detor,Krista Detor is a singer-songwriter and pianist from Indiana whose music has been featured on NPR and with Mike Harding on the BBC.,Krista Detor,"In the ""Krista Detor"" document, what evidence helps answer: Krista Detor''s music has been featured on the BBC with a singer known as what?","In the ""Krista Detor"" document, what is the name of the BBC presenter who featured Krista Detor's music?",accepted,,accept,1,,The question is answerable from the gold sentence and matches the subtype.,Qwen/Qwen3-235B-A22B-Instruct-2507,meta-llama/Llama-3.3-70B-Instruct-Turbo
ex_title_cand_0004,5ac3bbc6554299391541390f,title_anchor,doc_and_justice_for_all_album_af1d4f608e,...And Justice for All (album)," It was the band's first studio album to feature bassist Jason Newsted after the death of Cliff Burton in 1986. """,...And Justice for All (album),"In the ""...And Justice for All (album)"" document, what evidence helps answer: ...And Justice for All is a studio album from Metallican that was the first to feature the bassist who was also part of which other bands?","In the ""...And Justice for All (album)"" document, what is the name of the bassist who first appeared on this Metallica studio album following the death of Cliff Burton?",accepted,,accept,1,,The question is answerable from the gold sentence and matches the subtype.,Qwen/Qwen3-235B-A22B-Instruct-2507,meta-llama/Llama-3.3-70B-Instruct-Turbo
ex_title_cand_0005,5ae3097255429928c42395b7,title_anchor,doc_kurt_fearnley_94e53fd1b1,Kurt Fearnley,"Kurt Harry Fearnley, OAM (born 23 March 1981) is an Australian wheelchair racer, who has won gold medals at the Paralympic Games and 'crawled' the Kokoda Track.",Kurt Fearnley,"In the ""Kurt Fearnley"" document, what evidence helps answer: Andrew Dawes coached what wheelchair racer in 2012 to the London Paralympics?","In the ""Kurt Fearnley"" document, what is the full name of the Australian wheelchair racer who won gold medals at the Paralympic Games and crawled the Kokoda Track?",accepted,,accept,1,,The question is answerable from the gold sentence and matches the subtype.,Qwen/Qwen3-235B-A22B-Instruct-2507,meta-llama/Llama-3.3-70B-Instruct-Turbo
ex_title_cand_0006,5a8999d95542993b751ca957,title_anchor,doc_nelson_demille_9ffe40f2d7,Nelson DeMille,"Nelson Richard DeMille (born August 23, 1943) is an American author of action adventure and suspense novels.",Nelson DeMille,"In the ""Nelson DeMille"" document, what evidence helps answer: Which of the following is a writer whose work includes ""Plum Island"": Charles de Lint or Nelson DeMille?","In the ""Nelson DeMille"" document, what is the full name and profession of the author associated with the novel ""Plum Island""?",accepted,,accept,1,,The question is answerable from the gold sentence and matches the subtype.,Qwen/Qwen3-235B-A22B-Instruct-2507,meta-llama/Llama-3.3-70B-Instruct-Turbo
ex_title_cand_0007,5adf89ea5542992d7e9f9391,title_anchor,doc_dunes_hotel_and_casino_60b02354a8,Dunes (hotel and casino)," Designed by architect Maxwell Starkman, it was the tenth resort to open on the Strip.",Dunes (hotel and casino),"In the ""Dunes (hotel and casino)"" document, what evidence helps answer: Who designed the hotel at which Rouvaun appeared as the lead singer in the review Casino De Paris ?","In the ""Dunes (hotel and casino)"" document, what is the name of the architect who designed the resort?",accepted,,accept,2,,The question is answerable from the gold sentence and matches the subtype.,Qwen/Qwen3-235B-A22B-Instruct-2507,meta-llama/Llama-3.3-70B-Instruct-Turbo
ex_title_cand_0008,5aba796855429955dce3ee4f,title_anchor,doc_mark_shuttleworth_6b34f43ffb,Mark Shuttleworth," In 2002, he became the first citizen of an independent African country to travel to space as a space tourist.",Mark Shuttleworth,"In the ""Mark Shuttleworth"" document, what evidence helps answer: Both have travelled in space but which has completed more Space Shuttle missions: Jean-François Clervoy or Mark Shuttleworth?","In the ""Mark Shuttleworth"" document, did Mark Shuttleworth complete any Space Shuttle missions?",needs_review,valid question,accept,3,,valid question,Qwen/Qwen3-235B-A22B-Instruct-2507,meta-llama/Llama-3.3-70B-Instruct-Turbo
ex_title_cand_0009,5adceff95542992c1e3a24c4,title_anchor,doc_frederick_the_great_3d81601b9c,Frederick the Great,Frederick was the last titled King in Prussia and declared himself King of Prussia after achieving full sovereignty for all historical Prussian lands.,Frederick the Great,"In the ""Frederick the Great"" document, what evidence helps answer: The King who lead the Prussians in the Battle of Chotusitz was know to be the last what?","In the ""Frederick the Great"" document, what title did Frederick hold as the last ruler before declaring himself King of Prussia?",accepted,,accept,1,,The question is answerable from the gold sentence and matches the subtype.,Qwen/Qwen3-235B-A22B-Instruct-2507,meta-llama/Llama-3.3-70B-Instruct-Turbo
ex_title_cand_0010,5ae7bd445542994a481bbdca,title_anchor,doc_the_marathon_mixtape_62122f466a,The Marathon (mixtape),The Marathon is the fifth official mixtape by American rapper Nipsey Hussle.,The Marathon (mixtape),"In the ""The Marathon (mixtape)"" document, what evidence helps answer: The Marathon is a mixtape by a rapper whose recodings inlcude one called what in which which rapper Jay-Z, bought 100 copies for $100 each?","In the ""The Marathon (mixtape)"" document, what is the name of the mixtape by American rapper Nipsey Hussle?",accepted,,accept,1,,matches subtype and uses required anchor,Qwen/Qwen3-235B-A22B-Instruct-2507,meta-llama/Llama-3.3-70B-Instruct-Turbo
ex_title_cand_0011,5addd5ef5542990dbb2f7ea2,title_anchor,doc_recluse_spider_c9db7a8f0e,Recluse spider," Recluse spiders are now identified as members of the family Sicariidae, having formerly been placed in their own family, the Loxoscelidae.",Recluse spider,"In the ""Recluse spider"" document, what evidence helps answer: Loxosceles deserta is a spider that is now a member of what family?","In the ""Recluse spider"" document, what family are recluse spiders now identified as members of?",accepted,,accept,1,,The question is answerable from the gold sentence and matches the subtype.,Qwen/Qwen3-235B-A22B-Instruct-2507,meta-llama/Llama-3.3-70B-Instruct-Turbo
ex_title_cand_0012,5adfdac155429925eb1afac2,title_anchor,doc_black_madam_5783201cf2,Black Madam," Windslowe has reportedly also performed buttocks injections on a large number of celebrity clients including Amber Rose and ""a lot of girls from VH1"".",Black Madam,"In the ""Black Madam"" document, what evidence helps answer: Black Madam reportedly performed buttocks injections on which American model and actress?","In the ""Black Madam"" document, what American model and actress reportedly received buttocks injections from Black Madam?",accepted,,accept,1,,The question is answerable from the gold sentence and matches the subtype.,Qwen/Qwen3-235B-A22B-Instruct-2507,meta-llama/Llama-3.3-70B-Instruct-Turbo
