question_id,source_hotpot_id,gold_doc_id,gold_title,gold_sentence,current_question,rewritten_question,status,notes
sf_cand_0001,5abfe2ab5542997d6429591d,doc_western_star_trucks_d621a6efc5,Western Star Trucks,"Western Star Trucks Sales, Inc., commonly designated Western Star, is an American truck manufacturer headquartered in Portland, Oregon, United States and a subsidiary of Daimler Trucks North America, in turn a wholly owned subsidiary of the German Daimler AG.","Rewrite this fact into a natural semantic question: Western Star Trucks Sales, Inc., commonly designated Western Star, is an American truck manufacturer headquartered in Portland, Oregon, United States and a subsidiary of Daimler Trucks North America, in turn a wholly owned subsidiary of the German Daimler AG.",,todo,
sf_cand_0002,5a88722455429938390d3f6a,doc_central_arizona_project_f22326a0ec,Central Arizona Project,The Central Arizona Project (CAP) is a 336 mi (541 km) diversion canal in Arizona in the United States.,Rewrite this fact into a natural semantic question: The Central Arizona Project (CAP) is a 336 mi (541 km) diversion canal in Arizona in the United States.,,todo,
sf_cand_0003,5a828ebb55429940e5e1a8f6,doc_s_p_balasubrahmanyam_69e87a533e,S. P. Balasubrahmanyam,"Sripathi Panditaradhyula Balasubrahmanyam (   ; born 4 June 1946) is an Indian film playback singer, actor, music director, voice actor and film producer.","Rewrite this fact into a natural semantic question: Sripathi Panditaradhyula Balasubrahmanyam (   ; born 4 June 1946) is an Indian film playback singer, actor, music director, voice actor and film producer.",,todo,
sf_cand_0004,5ac10b6d554299294b219073,doc_nicky_barnes_84dec9ea4a,Nicky Barnes,"Leroy Nicholas ""Nicky"" Barnes (born October 15, 1933) is an American former crime boss in New York City during the 1970s.","Rewrite this fact into a natural semantic question: Leroy Nicholas ""Nicky"" Barnes (born October 15, 1933) is an American former crime boss in New York City during the 1970s.",,todo,
sf_cand_0005,5ae107f65542990adbacf707,doc_teddy_boy_ep_e387c9e76c,Teddy Boy (EP),"Teddy Boy is an EP by French electro house artist Kavinsky released on January 16, 2006.","Rewrite this fact into a natural semantic question: Teddy Boy is an EP by French electro house artist Kavinsky released on January 16, 2006.",,todo,
sf_cand_0006,5adfbbb355429942ec259b25,doc_anna_university_275a1e38b1,Anna University," The main campus is in Guindy, Chennai.","Rewrite this fact into a natural semantic question:  The main campus is in Guindy, Chennai.",,todo,
sf_cand_0007,5ac14fef5542991316484aed,doc_pranitha_vardhineni_84898dbd5c,Pranitha Vardhineni," This notable win led to her selection into the prestigious Tata Archery Academy in Jamshedpur, India.","Rewrite this fact into a natural semantic question:  This notable win led to her selection into the prestigious Tata Archery Academy in Jamshedpur, India.",,todo,
sf_cand_0008,5a7410ba55429979e288289f,doc_king_of_tokyo_277a5ca729,King of Tokyo,"King of Tokyo is a tabletop game using custom dice, cards, and boards, designed by Richard Garfield and released in 2011.","Rewrite this fact into a natural semantic question: King of Tokyo is a tabletop game using custom dice, cards, and boards, designed by Richard Garfield and released in 2011.",,todo,
sf_cand_0009,5abaafc555429901930fa899,doc_john_e_sweeney_1c22329c68,John E. Sweeney," A Republican, he represented New York's 20th congressional district in the United States House of Representatives from January 1999 to January 2007.","Rewrite this fact into a natural semantic question:  A Republican, he represented New York's 20th congressional district in the United States House of Representatives from January 1999 to January 2007.",,todo,
sf_cand_0010,5ab8451855429919ba4e2299,doc_thun_4e56723435,Thun,"Thun (French: ""Thoune"" ) is a town and a municipality in the administrative district of Thun in the canton of Bern in Switzerland with about 43,783 inhabitants (around 90,000 in the agglomeration), as of 31 December 2013.","Rewrite this fact into a natural semantic question: Thun (French: ""Thoune"" ) is a town and a municipality in the administrative district of Thun in the canton of Bern in Switzerland with about 43,783 inhabitants (around 90,000 in the agglomeration), as of 31 December 2013.",,todo,
sf_cand_0011,5a7356ce5542991f29ee2d8a,doc_leicester_city_f_c_2ba3e7504e,Leicester City F.C.,Leicester City Football Club is an English professional football club based at the King Power Stadium in Leicester.,Rewrite this fact into a natural semantic question: Leicester City Football Club is an English professional football club based at the King Power Stadium in Leicester.,,todo,
sf_cand_0012,5a7f883e5542995d8a8dde99,doc_australian_woman_s_mirror_e436c958be,Australian Woman's Mirror,"The Australian Woman's Mirror, was an Australian weekly women's magazine published by ""The Bulletin"" magazine in Sydney, between 1924 and 1961.","Rewrite this fact into a natural semantic question: The Australian Woman's Mirror, was an Australian weekly women's magazine published by ""The Bulletin"" magazine in Sydney, between 1924 and 1961.",,todo,
sf_cand_0013,5a8744a95542994846c1cd41,doc_4_little_girls_d5a9efb5c7,4 Little Girls," It was directed by Spike Lee and nominated for an Academy Award for ""Best Documentary"".","Rewrite this fact into a natural semantic question:  It was directed by Spike Lee and nominated for an Academy Award for ""Best Documentary"".",,todo,
sf_cand_0014,5a7f387755429934daa2fd23,doc_ray_mckinnon_actor_bc10b8cb9a,Ray McKinnon (actor),"Raymond ""Ray"" Wilkes McKinnon (born November 15, 1957) is an American actor, screenwriter, film director and producer.","Rewrite this fact into a natural semantic question: Raymond ""Ray"" Wilkes McKinnon (born November 15, 1957) is an American actor, screenwriter, film director and producer.",,todo,
sf_cand_0015,5a8c5127554299240d9c210d,doc_c_h_greenblatt_36dff09626,C. H. Greenblatt,"Carl Harvey ""C. H."" Greenblatt (born June or October 17, 1972) is an American cartoon screenwriter, producer, and storyboard artist.","Rewrite this fact into a natural semantic question: Carl Harvey ""C. H."" Greenblatt (born June or October 17, 1972) is an American cartoon screenwriter, producer, and storyboard artist.",,todo,
