question_id,task_type,split,method,k,gold_count,retrieved_count,matched_gold_count,evidence_recall_at_k,complete_recall_at_k,search_success,mrr,tool_calls,latency_ms,text_read_tokens,evidence_gain_step2,stop_accuracy
ex_date_0001,exact_file_lookup,final,fusion,1,1,1,1,1.0,1.0,1.0,1.0,3,196.66766000886759,1188,,
ex_date_0001,exact_file_lookup,final,fusion,3,1,3,1,1.0,1.0,1.0,1.0,3,196.66766000886759,1188,,
ex_date_0001,exact_file_lookup,final,fusion,5,1,5,1,1.0,1.0,1.0,1.0,3,196.66766000886759,1188,,
ex_date_0002,exact_file_lookup,final,fusion,1,1,1,0,0.0,0.0,0.0,0.0,3,190.51256000598272,1375,,
ex_date_0002,exact_file_lookup,final,fusion,3,1,3,1,1.0,1.0,1.0,0.5,3,190.51256000598272,1375,,
ex_date_0002,exact_file_lookup,final,fusion,5,1,5,1,1.0,1.0,1.0,0.5,3,190.51256000598272,1375,,
ex_date_0003,exact_file_lookup,final,fusion,1,1,1,1,1.0,1.0,1.0,1.0,3,200.80725997289022,1591,,
ex_date_0003,exact_file_lookup,final,fusion,3,1,3,1,1.0,1.0,1.0,1.0,3,200.80725997289022,1591,,
ex_date_0003,exact_file_lookup,final,fusion,5,1,5,1,1.0,1.0,1.0,1.0,3,200.80725997289022,1591,,
ex_date_0004,exact_file_lookup,final,fusion,1,1,1,0,0.0,0.0,0.0,0.0,3,201.15336000521978,1534,,
ex_date_0004,exact_file_lookup,final,fusion,3,1,3,1,1.0,1.0,1.0,0.5,3,201.15336000521978,1534,,
ex_date_0004,exact_file_lookup,final,fusion,5,1,5,1,1.0,1.0,1.0,0.5,3,201.15336000521978,1534,,
ex_date_0005,exact_file_lookup,final,fusion,1,1,1,0,0.0,0.0,0.0,0.0,3,189.3691599925359,1263,,
ex_date_0005,exact_file_lookup,final,fusion,3,1,3,1,1.0,1.0,1.0,0.5,3,189.3691599925359,1263,,
ex_date_0005,exact_file_lookup,final,fusion,5,1,5,1,1.0,1.0,1.0,0.5,3,189.3691599925359,1263,,
ex_date_0006,exact_file_lookup,final,fusion,1,1,1,0,0.0,0.0,0.0,0.0,3,203.1836600114902,741,,
ex_date_0006,exact_file_lookup,final,fusion,3,1,3,1,1.0,1.0,1.0,0.5,3,203.1836600114902,741,,
ex_date_0006,exact_file_lookup,final,fusion,5,1,5,1,1.0,1.0,1.0,0.5,3,203.1836600114902,741,,
ex_date_0007,exact_file_lookup,final,fusion,1,1,1,1,1.0,1.0,1.0,1.0,3,203.15385996898016,1396,,
ex_date_0007,exact_file_lookup,final,fusion,3,1,3,1,1.0,1.0,1.0,1.0,3,203.15385996898016,1396,,
ex_date_0007,exact_file_lookup,final,fusion,5,1,5,1,1.0,1.0,1.0,1.0,3,203.15385996898016,1396,,
ex_date_0008,exact_file_lookup,final,fusion,1,1,1,1,1.0,1.0,1.0,1.0,3,190.4455600043138,1014,,
ex_date_0008,exact_file_lookup,final,fusion,3,1,3,1,1.0,1.0,1.0,1.0,3,190.4455600043138,1014,,
ex_date_0008,exact_file_lookup,final,fusion,5,1,5,1,1.0,1.0,1.0,1.0,3,190.4455600043138,1014,,
ex_date_0009,exact_file_lookup,final,fusion,1,1,1,0,0.0,0.0,0.0,0.0,3,209.744559999307,1258,,
ex_date_0009,exact_file_lookup,final,fusion,3,1,3,1,1.0,1.0,1.0,0.5,3,209.744559999307,1258,,
ex_date_0009,exact_file_lookup,final,fusion,5,1,5,1,1.0,1.0,1.0,0.5,3,209.744559999307,1258,,
ex_date_0010,exact_file_lookup,final,fusion,1,1,1,1,1.0,1.0,1.0,1.0,3,192.96096001168092,1263,,
ex_date_0010,exact_file_lookup,final,fusion,3,1,3,1,1.0,1.0,1.0,1.0,3,192.96096001168092,1263,,
ex_date_0010,exact_file_lookup,final,fusion,5,1,5,1,1.0,1.0,1.0,1.0,3,192.96096001168092,1263,,
ex_date_0011,exact_file_lookup,final,fusion,1,1,1,0,0.0,0.0,0.0,0.0,3,194.8473599811395,822,,
ex_date_0011,exact_file_lookup,final,fusion,3,1,3,1,1.0,1.0,1.0,0.5,3,194.8473599811395,822,,
ex_date_0011,exact_file_lookup,final,fusion,5,1,5,1,1.0,1.0,1.0,0.5,3,194.8473599811395,822,,
ex_date_0012,exact_file_lookup,final,fusion,1,1,1,0,0.0,0.0,0.0,0.0,3,195.89055999716123,1164,,
ex_date_0012,exact_file_lookup,final,fusion,3,1,3,1,1.0,1.0,1.0,0.5,3,195.89055999716123,1164,,
ex_date_0012,exact_file_lookup,final,fusion,5,1,5,1,1.0,1.0,1.0,0.5,3,195.89055999716123,1164,,
ex_date_0013,exact_file_lookup,final,fusion,1,1,1,1,1.0,1.0,1.0,1.0,3,205.01185999413332,2373,,
ex_date_0013,exact_file_lookup,final,fusion,3,1,3,1,1.0,1.0,1.0,1.0,3,205.01185999413332,2373,,
ex_date_0013,exact_file_lookup,final,fusion,5,1,5,1,1.0,1.0,1.0,1.0,3,205.01185999413332,2373,,
ex_date_0014,exact_file_lookup,final,fusion,1,1,1,0,0.0,0.0,0.0,0.0,3,189.6838599850734,967,,
ex_date_0014,exact_file_lookup,final,fusion,3,1,3,0,0.0,0.0,0.0,0.0,3,189.6838599850734,967,,
ex_date_0014,exact_file_lookup,final,fusion,5,1,5,0,0.0,0.0,0.0,0.0,3,189.6838599850734,967,,
ex_date_0015,exact_file_lookup,final,fusion,1,1,1,1,1.0,1.0,1.0,1.0,3,221.86505999763807,1789,,
ex_date_0015,exact_file_lookup,final,fusion,3,1,3,1,1.0,1.0,1.0,1.0,3,221.86505999763807,1789,,
ex_date_0015,exact_file_lookup,final,fusion,5,1,5,1,1.0,1.0,1.0,1.0,3,221.86505999763807,1789,,
ex_date_0016,exact_file_lookup,final,fusion,1,1,1,1,1.0,1.0,1.0,1.0,3,198.23116001089414,1261,,
ex_date_0016,exact_file_lookup,final,fusion,3,1,3,1,1.0,1.0,1.0,1.0,3,198.23116001089414,1261,,
ex_date_0016,exact_file_lookup,final,fusion,5,1,5,1,1.0,1.0,1.0,1.0,3,198.23116001089414,1261,,
ex_date_0017,exact_file_lookup,final,fusion,1,1,1,0,0.0,0.0,0.0,0.0,3,220.43325998981794,1642,,
ex_date_0017,exact_file_lookup,final,fusion,3,1,3,0,0.0,0.0,0.0,0.0,3,220.43325998981794,1642,,
ex_date_0017,exact_file_lookup,final,fusion,5,1,5,0,0.0,0.0,0.0,0.0,3,220.43325998981794,1642,,
ex_date_0018,exact_file_lookup,final,fusion,1,1,1,1,1.0,1.0,1.0,1.0,3,188.20545999308428,1105,,
ex_date_0018,exact_file_lookup,final,fusion,3,1,3,1,1.0,1.0,1.0,1.0,3,188.20545999308428,1105,,
ex_date_0018,exact_file_lookup,final,fusion,5,1,5,1,1.0,1.0,1.0,1.0,3,188.20545999308428,1105,,
ex_date_0019,exact_file_lookup,final,fusion,1,1,1,0,0.0,0.0,0.0,0.0,3,206.14476002355417,1154,,
ex_date_0019,exact_file_lookup,final,fusion,3,1,3,1,1.0,1.0,1.0,0.5,3,206.14476002355417,1154,,
ex_date_0019,exact_file_lookup,final,fusion,5,1,5,1,1.0,1.0,1.0,0.5,3,206.14476002355417,1154,,
ex_date_0020,exact_file_lookup,final,fusion,1,1,1,1,1.0,1.0,1.0,1.0,3,199.0053599735101,1403,,
ex_date_0020,exact_file_lookup,final,fusion,3,1,3,1,1.0,1.0,1.0,1.0,3,199.0053599735101,1403,,
ex_date_0020,exact_file_lookup,final,fusion,5,1,5,1,1.0,1.0,1.0,1.0,3,199.0053599735101,1403,,
ex_phrase_0001,exact_file_lookup,final,fusion,1,1,1,1,1.0,1.0,1.0,1.0,3,205.90875999232134,1278,,
ex_phrase_0001,exact_file_lookup,final,fusion,3,1,3,1,1.0,1.0,1.0,1.0,3,205.90875999232134,1278,,
ex_phrase_0001,exact_file_lookup,final,fusion,5,1,5,1,1.0,1.0,1.0,1.0,3,205.90875999232134,1278,,
ex_phrase_0002,exact_file_lookup,final,fusion,1,1,1,1,1.0,1.0,1.0,1.0,3,209.42765999933084,1180,,
ex_phrase_0002,exact_file_lookup,final,fusion,3,1,3,1,1.0,1.0,1.0,1.0,3,209.42765999933084,1180,,
ex_phrase_0002,exact_file_lookup,final,fusion,5,1,5,1,1.0,1.0,1.0,1.0,3,209.42765999933084,1180,,
ex_phrase_0003,exact_file_lookup,final,fusion,1,1,1,1,1.0,1.0,1.0,1.0,3,209.6063600142797,2089,,
ex_phrase_0003,exact_file_lookup,final,fusion,3,1,3,1,1.0,1.0,1.0,1.0,3,209.6063600142797,2089,,
ex_phrase_0003,exact_file_lookup,final,fusion,5,1,5,1,1.0,1.0,1.0,1.0,3,209.6063600142797,2089,,
ex_phrase_0004,exact_file_lookup,final,fusion,1,1,1,1,1.0,1.0,1.0,1.0,3,209.3436600079139,1000,,
ex_phrase_0004,exact_file_lookup,final,fusion,3,1,3,1,1.0,1.0,1.0,1.0,3,209.3436600079139,1000,,
ex_phrase_0004,exact_file_lookup,final,fusion,5,1,5,1,1.0,1.0,1.0,1.0,3,209.3436600079139,1000,,
ex_phrase_0005,exact_file_lookup,final,fusion,1,1,1,1,1.0,1.0,1.0,1.0,3,215.74915998776754,1231,,
ex_phrase_0005,exact_file_lookup,final,fusion,3,1,3,1,1.0,1.0,1.0,1.0,3,215.74915998776754,1231,,
ex_phrase_0005,exact_file_lookup,final,fusion,5,1,5,1,1.0,1.0,1.0,1.0,3,215.74915998776754,1231,,
ex_phrase_0006,exact_file_lookup,final,fusion,1,1,1,1,1.0,1.0,1.0,1.0,3,245.94615999956926,1785,,
ex_phrase_0006,exact_file_lookup,final,fusion,3,1,3,1,1.0,1.0,1.0,1.0,3,245.94615999956926,1785,,
ex_phrase_0006,exact_file_lookup,final,fusion,5,1,5,1,1.0,1.0,1.0,1.0,3,245.94615999956926,1785,,
ex_phrase_0007,exact_file_lookup,final,fusion,1,1,1,1,1.0,1.0,1.0,1.0,3,213.3305600096782,1799,,
ex_phrase_0007,exact_file_lookup,final,fusion,3,1,3,1,1.0,1.0,1.0,1.0,3,213.3305600096782,1799,,
ex_phrase_0007,exact_file_lookup,final,fusion,5,1,5,1,1.0,1.0,1.0,1.0,3,213.3305600096782,1799,,
ex_phrase_0008,exact_file_lookup,final,fusion,1,1,1,0,0.0,0.0,0.0,0.0,3,214.48015999396642,1044,,
ex_phrase_0008,exact_file_lookup,final,fusion,3,1,3,1,1.0,1.0,1.0,0.3333333333333333,3,214.48015999396642,1044,,
ex_phrase_0008,exact_file_lookup,final,fusion,5,1,5,1,1.0,1.0,1.0,0.3333333333333333,3,214.48015999396642,1044,,
ex_phrase_0009,exact_file_lookup,final,fusion,1,1,1,1,1.0,1.0,1.0,1.0,3,213.6218599786361,1801,,
ex_phrase_0009,exact_file_lookup,final,fusion,3,1,3,1,1.0,1.0,1.0,1.0,3,213.6218599786361,1801,,
ex_phrase_0009,exact_file_lookup,final,fusion,5,1,5,1,1.0,1.0,1.0,1.0,3,213.6218599786361,1801,,
ex_phrase_0010,exact_file_lookup,final,fusion,1,1,1,1,1.0,1.0,1.0,1.0,3,217.10935999055704,1274,,
ex_phrase_0010,exact_file_lookup,final,fusion,3,1,3,1,1.0,1.0,1.0,1.0,3,217.10935999055704,1274,,
ex_phrase_0010,exact_file_lookup,final,fusion,5,1,5,1,1.0,1.0,1.0,1.0,3,217.10935999055704,1274,,
ex_phrase_0011,exact_file_lookup,final,fusion,1,1,1,1,1.0,1.0,1.0,1.0,3,211.74935999115309,949,,
ex_phrase_0011,exact_file_lookup,final,fusion,3,1,3,1,1.0,1.0,1.0,1.0,3,211.74935999115309,949,,
ex_phrase_0011,exact_file_lookup,final,fusion,5,1,5,1,1.0,1.0,1.0,1.0,3,211.74935999115309,949,,
ex_phrase_0012,exact_file_lookup,final,fusion,1,1,1,0,0.0,0.0,0.0,0.0,3,247.2120600004991,764,,
ex_phrase_0012,exact_file_lookup,final,fusion,3,1,3,1,1.0,1.0,1.0,0.5,3,247.2120600004991,764,,
ex_phrase_0012,exact_file_lookup,final,fusion,5,1,5,1,1.0,1.0,1.0,0.5,3,247.2120600004991,764,,
ex_phrase_0013,exact_file_lookup,final,fusion,1,1,1,1,1.0,1.0,1.0,1.0,3,215.20445997615656,1353,,
ex_phrase_0013,exact_file_lookup,final,fusion,3,1,3,1,1.0,1.0,1.0,1.0,3,215.20445997615656,1353,,
ex_phrase_0013,exact_file_lookup,final,fusion,5,1,5,1,1.0,1.0,1.0,1.0,3,215.20445997615656,1353,,
ex_phrase_0014,exact_file_lookup,final,fusion,1,1,1,1,1.0,1.0,1.0,1.0,3,206.83795998593172,1145,,
ex_phrase_0014,exact_file_lookup,final,fusion,3,1,3,1,1.0,1.0,1.0,1.0,3,206.83795998593172,1145,,
ex_phrase_0014,exact_file_lookup,final,fusion,5,1,5,1,1.0,1.0,1.0,1.0,3,206.83795998593172,1145,,
ex_phrase_0015,exact_file_lookup,final,fusion,1,1,1,1,1.0,1.0,1.0,1.0,3,209.88066000839075,1488,,
ex_phrase_0015,exact_file_lookup,final,fusion,3,1,3,1,1.0,1.0,1.0,1.0,3,209.88066000839075,1488,,
ex_phrase_0015,exact_file_lookup,final,fusion,5,1,5,1,1.0,1.0,1.0,1.0,3,209.88066000839075,1488,,
ex_phrase_0016,exact_file_lookup,final,fusion,1,1,1,0,0.0,0.0,0.0,0.0,3,212.57236000498136,1441,,
ex_phrase_0016,exact_file_lookup,final,fusion,3,1,3,1,1.0,1.0,1.0,0.5,3,212.57236000498136,1441,,
ex_phrase_0016,exact_file_lookup,final,fusion,5,1,5,1,1.0,1.0,1.0,0.5,3,212.57236000498136,1441,,
ex_phrase_0017,exact_file_lookup,final,fusion,1,1,1,1,1.0,1.0,1.0,1.0,3,207.27275999983152,1250,,
ex_phrase_0017,exact_file_lookup,final,fusion,3,1,3,1,1.0,1.0,1.0,1.0,3,207.27275999983152,1250,,
ex_phrase_0017,exact_file_lookup,final,fusion,5,1,5,1,1.0,1.0,1.0,1.0,3,207.27275999983152,1250,,
ex_phrase_0018,exact_file_lookup,final,fusion,1,1,1,1,1.0,1.0,1.0,1.0,3,220.6878600080808,1581,,
ex_phrase_0018,exact_file_lookup,final,fusion,3,1,3,1,1.0,1.0,1.0,1.0,3,220.6878600080808,1581,,
ex_phrase_0018,exact_file_lookup,final,fusion,5,1,5,1,1.0,1.0,1.0,1.0,3,220.6878600080808,1581,,
ex_phrase_0019,exact_file_lookup,final,fusion,1,1,1,1,1.0,1.0,1.0,1.0,3,210.65345997711023,1293,,
ex_phrase_0019,exact_file_lookup,final,fusion,3,1,3,1,1.0,1.0,1.0,1.0,3,210.65345997711023,1293,,
ex_phrase_0019,exact_file_lookup,final,fusion,5,1,5,1,1.0,1.0,1.0,1.0,3,210.65345997711023,1293,,
ex_phrase_0020,exact_file_lookup,final,fusion,1,1,1,0,0.0,0.0,0.0,0.0,3,218.6532599737247,849,,
ex_phrase_0020,exact_file_lookup,final,fusion,3,1,3,1,1.0,1.0,1.0,0.5,3,218.6532599737247,849,,
ex_phrase_0020,exact_file_lookup,final,fusion,5,1,5,1,1.0,1.0,1.0,0.5,3,218.6532599737247,849,,
ex_title_0001,exact_file_lookup,final,fusion,1,1,1,1,1.0,1.0,1.0,1.0,3,198.80945998032888,1352,,
ex_title_0001,exact_file_lookup,final,fusion,3,1,3,1,1.0,1.0,1.0,1.0,3,198.80945998032888,1352,,
ex_title_0001,exact_file_lookup,final,fusion,5,1,5,1,1.0,1.0,1.0,1.0,3,198.80945998032888,1352,,
ex_title_0002,exact_file_lookup,final,fusion,1,1,1,1,1.0,1.0,1.0,1.0,3,203.97856001158556,1357,,
ex_title_0002,exact_file_lookup,final,fusion,3,1,3,1,1.0,1.0,1.0,1.0,3,203.97856001158556,1357,,
ex_title_0002,exact_file_lookup,final,fusion,5,1,5,1,1.0,1.0,1.0,1.0,3,203.97856001158556,1357,,
ex_title_0003,exact_file_lookup,final,fusion,1,1,1,1,1.0,1.0,1.0,1.0,3,203.00505999823412,1481,,
ex_title_0003,exact_file_lookup,final,fusion,3,1,3,1,1.0,1.0,1.0,1.0,3,203.00505999823412,1481,,
ex_title_0003,exact_file_lookup,final,fusion,5,1,5,1,1.0,1.0,1.0,1.0,3,203.00505999823412,1481,,
ex_title_0004,exact_file_lookup,final,fusion,1,1,1,1,1.0,1.0,1.0,1.0,3,230.6962600161632,1635,,
ex_title_0004,exact_file_lookup,final,fusion,3,1,3,1,1.0,1.0,1.0,1.0,3,230.6962600161632,1635,,
ex_title_0004,exact_file_lookup,final,fusion,5,1,5,1,1.0,1.0,1.0,1.0,3,230.6962600161632,1635,,
ex_title_0005,exact_file_lookup,final,fusion,1,1,1,1,1.0,1.0,1.0,1.0,3,217.92495999832948,1670,,
ex_title_0005,exact_file_lookup,final,fusion,3,1,3,1,1.0,1.0,1.0,1.0,3,217.92495999832948,1670,,
ex_title_0005,exact_file_lookup,final,fusion,5,1,5,1,1.0,1.0,1.0,1.0,3,217.92495999832948,1670,,
ex_title_0006,exact_file_lookup,final,fusion,1,1,1,1,1.0,1.0,1.0,1.0,3,223.87265999217828,1159,,
ex_title_0006,exact_file_lookup,final,fusion,3,1,3,1,1.0,1.0,1.0,1.0,3,223.87265999217828,1159,,
ex_title_0006,exact_file_lookup,final,fusion,5,1,5,1,1.0,1.0,1.0,1.0,3,223.87265999217828,1159,,
ex_title_0007,exact_file_lookup,final,fusion,1,1,1,1,1.0,1.0,1.0,1.0,3,205.36655997832617,1402,,
ex_title_0007,exact_file_lookup,final,fusion,3,1,3,1,1.0,1.0,1.0,1.0,3,205.36655997832617,1402,,
ex_title_0007,exact_file_lookup,final,fusion,5,1,5,1,1.0,1.0,1.0,1.0,3,205.36655997832617,1402,,
ex_title_0008,exact_file_lookup,final,fusion,1,1,1,1,1.0,1.0,1.0,1.0,3,208.7349599858125,1626,,
ex_title_0008,exact_file_lookup,final,fusion,3,1,3,1,1.0,1.0,1.0,1.0,3,208.7349599858125,1626,,
ex_title_0008,exact_file_lookup,final,fusion,5,1,5,1,1.0,1.0,1.0,1.0,3,208.7349599858125,1626,,
ex_title_0009,exact_file_lookup,final,fusion,1,1,1,1,1.0,1.0,1.0,1.0,3,208.0286600102981,1039,,
ex_title_0009,exact_file_lookup,final,fusion,3,1,3,1,1.0,1.0,1.0,1.0,3,208.0286600102981,1039,,
ex_title_0009,exact_file_lookup,final,fusion,5,1,5,1,1.0,1.0,1.0,1.0,3,208.0286600102981,1039,,
ex_title_0010,exact_file_lookup,final,fusion,1,1,1,1,1.0,1.0,1.0,1.0,3,210.47975998719534,1641,,
ex_title_0010,exact_file_lookup,final,fusion,3,1,3,1,1.0,1.0,1.0,1.0,3,210.47975998719534,1641,,
ex_title_0010,exact_file_lookup,final,fusion,5,1,5,1,1.0,1.0,1.0,1.0,3,210.47975998719534,1641,,
ex_title_0011,exact_file_lookup,final,fusion,1,1,1,1,1.0,1.0,1.0,1.0,3,207.1935599853595,859,,
ex_title_0011,exact_file_lookup,final,fusion,3,1,3,1,1.0,1.0,1.0,1.0,3,207.1935599853595,859,,
ex_title_0011,exact_file_lookup,final,fusion,5,1,5,1,1.0,1.0,1.0,1.0,3,207.1935599853595,859,,
ex_title_0012,exact_file_lookup,final,fusion,1,1,1,1,1.0,1.0,1.0,1.0,3,207.649159993728,1053,,
ex_title_0012,exact_file_lookup,final,fusion,3,1,3,1,1.0,1.0,1.0,1.0,3,207.649159993728,1053,,
ex_title_0012,exact_file_lookup,final,fusion,5,1,5,1,1.0,1.0,1.0,1.0,3,207.649159993728,1053,,
ex_title_0013,exact_file_lookup,final,fusion,1,1,1,1,1.0,1.0,1.0,1.0,3,214.02326000829538,1131,,
ex_title_0013,exact_file_lookup,final,fusion,3,1,3,1,1.0,1.0,1.0,1.0,3,214.02326000829538,1131,,
ex_title_0013,exact_file_lookup,final,fusion,5,1,5,1,1.0,1.0,1.0,1.0,3,214.02326000829538,1131,,
ex_title_0014,exact_file_lookup,final,fusion,1,1,1,1,1.0,1.0,1.0,1.0,3,204.90365999539694,1277,,
ex_title_0014,exact_file_lookup,final,fusion,3,1,3,1,1.0,1.0,1.0,1.0,3,204.90365999539694,1277,,
ex_title_0014,exact_file_lookup,final,fusion,5,1,5,1,1.0,1.0,1.0,1.0,3,204.90365999539694,1277,,
ex_title_0015,exact_file_lookup,final,fusion,1,1,1,1,1.0,1.0,1.0,1.0,3,206.82555998464426,1288,,
ex_title_0015,exact_file_lookup,final,fusion,3,1,3,1,1.0,1.0,1.0,1.0,3,206.82555998464426,1288,,
ex_title_0015,exact_file_lookup,final,fusion,5,1,5,1,1.0,1.0,1.0,1.0,3,206.82555998464426,1288,,
ex_title_0016,exact_file_lookup,final,fusion,1,1,1,1,1.0,1.0,1.0,1.0,3,217.18216000099977,1364,,
ex_title_0016,exact_file_lookup,final,fusion,3,1,3,1,1.0,1.0,1.0,1.0,3,217.18216000099977,1364,,
ex_title_0016,exact_file_lookup,final,fusion,5,1,5,1,1.0,1.0,1.0,1.0,3,217.18216000099977,1364,,
ex_title_0017,exact_file_lookup,final,fusion,1,1,1,1,1.0,1.0,1.0,1.0,3,208.28085997303327,1524,,
ex_title_0017,exact_file_lookup,final,fusion,3,1,3,1,1.0,1.0,1.0,1.0,3,208.28085997303327,1524,,
ex_title_0017,exact_file_lookup,final,fusion,5,1,5,1,1.0,1.0,1.0,1.0,3,208.28085997303327,1524,,
ex_title_0018,exact_file_lookup,final,fusion,1,1,1,1,1.0,1.0,1.0,1.0,3,203.9881600101789,893,,
ex_title_0018,exact_file_lookup,final,fusion,3,1,3,1,1.0,1.0,1.0,1.0,3,203.9881600101789,893,,
ex_title_0018,exact_file_lookup,final,fusion,5,1,5,1,1.0,1.0,1.0,1.0,3,203.9881600101789,893,,
ex_title_0019,exact_file_lookup,final,fusion,1,1,1,1,1.0,1.0,1.0,1.0,3,224.56475998063883,1080,,
ex_title_0019,exact_file_lookup,final,fusion,3,1,3,1,1.0,1.0,1.0,1.0,3,224.56475998063883,1080,,
ex_title_0019,exact_file_lookup,final,fusion,5,1,5,1,1.0,1.0,1.0,1.0,3,224.56475998063883,1080,,
ex_title_0020,exact_file_lookup,final,fusion,1,1,1,1,1.0,1.0,1.0,1.0,3,290.94736000498136,1282,,
ex_title_0020,exact_file_lookup,final,fusion,3,1,3,1,1.0,1.0,1.0,1.0,3,290.94736000498136,1282,,
ex_title_0020,exact_file_lookup,final,fusion,5,1,5,1,1.0,1.0,1.0,1.0,3,290.94736000498136,1282,,
mh_0001,multi_hop_relation,final,fusion,1,2,1,0,0.0,0.0,0.0,0.0,3,193.55485997696718,1319,,
mh_0001,multi_hop_relation,final,fusion,3,2,3,1,1.0,0.0,0.0,0.5,3,193.55485997696718,1319,,
