question_id,task_type,split,method,k,gold_count,retrieved_count,matched_gold_count,evidence_recall_at_k,complete_recall_at_k,search_success,mrr,tool_calls,latency_ms,text_read_tokens,evidence_gain_step2,stop_accuracy
sf_0001,semantic_fact,final,graph_path,1,1,1,1,1.0,1.0,1.0,1.0,1,28.77520000934601,427,,
sf_0001,semantic_fact,final,graph_path,3,1,3,1,1.0,1.0,1.0,1.0,1,28.77520000934601,427,,
sf_0001,semantic_fact,final,graph_path,5,1,5,1,1.0,1.0,1.0,1.0,1,28.77520000934601,427,,
sf_0002,semantic_fact,final,graph_path,1,1,1,1,1.0,1.0,1.0,1.0,1,17.569699987769127,497,,
sf_0002,semantic_fact,final,graph_path,3,1,3,1,1.0,1.0,1.0,1.0,1,17.569699987769127,497,,
sf_0002,semantic_fact,final,graph_path,5,1,5,1,1.0,1.0,1.0,1.0,1,17.569699987769127,497,,
sf_0003,semantic_fact,final,graph_path,1,1,1,1,1.0,1.0,1.0,1.0,1,19.716399997472763,452,,
sf_0003,semantic_fact,final,graph_path,3,1,3,1,1.0,1.0,1.0,1.0,1,19.716399997472763,452,,
sf_0003,semantic_fact,final,graph_path,5,1,5,1,1.0,1.0,1.0,1.0,1,19.716399997472763,452,,
sf_0004,semantic_fact,final,graph_path,1,1,1,1,1.0,1.0,1.0,1.0,1,16.07090000808239,364,,
sf_0004,semantic_fact,final,graph_path,3,1,3,1,1.0,1.0,1.0,1.0,1,16.07090000808239,364,,
sf_0004,semantic_fact,final,graph_path,5,1,5,1,1.0,1.0,1.0,1.0,1,16.07090000808239,364,,
sf_0005,semantic_fact,final,graph_path,1,1,1,1,1.0,1.0,1.0,1.0,1,17.004100009799004,555,,
sf_0005,semantic_fact,final,graph_path,3,1,3,1,1.0,1.0,1.0,1.0,1,17.004100009799004,555,,
sf_0005,semantic_fact,final,graph_path,5,1,5,1,1.0,1.0,1.0,1.0,1,17.004100009799004,555,,
sf_0006,semantic_fact,final,graph_path,1,1,1,1,1.0,1.0,1.0,1.0,1,11.147699981927872,618,,
sf_0006,semantic_fact,final,graph_path,3,1,3,1,1.0,1.0,1.0,1.0,1,11.147699981927872,618,,
sf_0006,semantic_fact,final,graph_path,5,1,5,1,1.0,1.0,1.0,1.0,1,11.147699981927872,618,,
sf_0007,semantic_fact,final,graph_path,1,1,1,1,1.0,1.0,1.0,1.0,1,20.910799995064735,324,,
sf_0007,semantic_fact,final,graph_path,3,1,3,1,1.0,1.0,1.0,1.0,1,20.910799995064735,324,,
sf_0007,semantic_fact,final,graph_path,5,1,5,1,1.0,1.0,1.0,1.0,1,20.910799995064735,324,,
sf_0008,semantic_fact,final,graph_path,1,1,1,1,1.0,1.0,1.0,1.0,1,15.191200003027916,469,,
sf_0008,semantic_fact,final,graph_path,3,1,3,1,1.0,1.0,1.0,1.0,1,15.191200003027916,469,,
